path,role,summary,classes,functions,imports,ros_topics,lines,bytes,sha256
SolarSim.ps1,PowerShell all-in-one entry,param(,,,,,336,12668,fa039bfbc741ab4719218ffc48738f42ce3ea6f7c3ccf33dd0c4987ea87f29c1
setup.py,ROS 2 packaging metadata,,,collect_data_files,"os, setuptools",,89,3660,0afd7baf06430bdeabcca8a791773e987af91b345b4e0c2ef913678ae6c1757a
package.xml,ROS 2 packaging metadata,"<?xml version=""1.0""?>",,,,,32,1114,02ccb480e640067c239f8a8a468736dbb643432fa26632cd73f006db9faea033
mpc_solarcar/__init__.py,runtime library/model,,,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
mpc_solarcar/can_obd_node.py,ROS 2 runtime node,,CanObdNode,"np_isfinite, main","can, math, numpy, rcl_interfaces.msg, rclpy, rclpy.node, std_msgs.msg, threading, time","/vehicle/fuel_rate_lph, /vehicle/idle_fuel_lph, /vehicle/maf_gps, /vehicle/obd_ok, /vehicle/rpm, /vehicle/speed_kmh, /vehicle/throttle_pct",346,13300,1b3c56d4a6a18d89b2b9c34a7e9577a1cafff4decfb7126908bc725271f64775
mpc_solarcar/config_wizard_node.py,ROS 2 runtime node,,ConfigWizardNode,main,"os, rclpy, rclpy.node, std_msgs.msg, typing, yaml","/system/config, /system/config_ready, /system/config_required",230,9083,fc3886245e5693550c0faf23a7bfcdb792e58e8fc6c114892447d336ecc927ca
mpc_solarcar/dashboard_node.py,ROS 2 runtime node,,"DashboardHandler, DashboardNode",main,"ament_index_python.packages, functools, http.server, json, math, nav_msgs.msg, os, rclpy, rclpy.node, sensor_msgs.msg, std_msgs.msg, threading, time","/planner/drive_mode, /planner/env, /planner/lower_plan, /planner/metrics, /planner/speed_cmd, /planner/status, /planner/throttle_cmd_pct, /planner/trajectory, /planner/upper_plan, /planner/upper_speed_cmd, /sim/gps, /system/diag, /system/health, /system/mpc_state, /system/state, /vehicle/batt_current_a, /vehicle/batt_soc, /vehicle/batt_temp_c, /vehicle/batt_voltage_v, /vehicle/s_km, /vehicle/speed_kmh",419,18128,26286dcb019288a13c2e17be4574c311b8bc2bb5e0268544165d6519a5cba443
mpc_solarcar/distance_node.py,ROS 2 runtime node,,DistanceNode,main,"math, rclpy, rclpy.node, std_msgs.msg, std_srvs.srv","/vehicle/s_km, /vehicle/speed_kmh",61,1928,f9897e68e8ec6dcccb2dadb511293f2969a90f66ca61ccbe9d0048e9cdd20bbf
mpc_solarcar/estimator.py,runtime library/model,,"MheInput, MheMeas, BatteryMHE",,"collections, dataclasses, math, numpy, scipy.optimize, typing",,112,3762,a5b46d1669a9ef838d07a4747d013e8c11bf0c4080cef73f07d0cd4fcadc8d31
mpc_solarcar/forecast_grid.py,runtime library/model,,,"timestamp_ns, forecast_distance_column, build_forecast_grid_payload, interp_forecast_grid","__future__, datetime, numpy, pandas",,131,3937,8af824c41afb472b3ed0021f8cb46d9d33ea92e31e5ec3118c96dea700e79c27
