file,qualified_name,start_line,end_line,signature,calls,attributes_read,attributes_written
launch/solar_race_live.launch.py,_setup,10,13,def _setup(context),LaunchConfiguration | build_live_nodes | load_profile | perform,,
launch/solar_race_live.launch.py,generate_launch_description,16,22,def generate_launch_description(),DeclareLaunchArgument | LaunchDescription | OpaqueFunction,,
launch/solar_race_live_wifi.launch.py,_setup,12,59,def _setup(context),LaunchConfiguration | Node | bool | build_live_nodes | float | get_section | live_cfg.get | live_forecast_paths | load_profile | model_cfg.get | nodes.append | perform | str | wifi_cfg.get | wifi_cfg.items | wind_cfg.get | wind_cfg.items,,
launch/solar_race_live_wifi.launch.py,generate_launch_description,62,68,def generate_launch_description(),DeclareLaunchArgument | LaunchDescription | OpaqueFunction,,
mpc_solarcar/live_launch.py,cfg_path,11,12,"def cfg_path(profile_path, raw: str) -> str",resolve_relative_path | str | strip,,
mpc_solarcar/live_launch.py,_drop_keys,15,17,"def _drop_keys(payload: dict, *keys: str) -> dict",items | set,,
mpc_solarcar/live_launch.py,live_forecast_paths,20,36,"def live_forecast_paths(profile_path, cfg)",Path | cfg_path | exists | get_path | get_section | shutil.copy2 | str | target.exists | target.parent.mkdir | weather_cfg.get | wind_cfg.get,,
mpc_solarcar/live_launch.py,build_live_nodes,39,175,"def build_live_nodes(profile_path, cfg, *, use_wifi: bool)",Node | _drop_keys | autocal_cfg.get | bool | cfg_path | command_cfg.get | float | get | get_path | get_section | int | live_cfg.get | live_forecast_paths | live_logging_cfg.get | logging_cfg.get | nodes.append | runtime_cfg.get | str | weather_cfg.get | wind_cfg.get,,
mpc_solarcar/solar_profile.py,require_csv_data_rows,14,34,"require_csv_data_rows(path, *, label, required_columns)",FileNotFoundError | Path | ValueError | csv.DictReader | expanduser | next | resolve | resolved.is_file | resolved.open | tuple,,
mpc_solarcar/solar_profile.py,_resolve_profile_path,37,48,def _resolve_profile_path(path_like: str | Path) -> Path,Path | Path.cwd | candidate.exists | expanduser | raw.is_absolute | raw.resolve | resolve | str | strip,,
mpc_solarcar/solar_profile.py,resolve_relative_path,51,65,"def resolve_relative_path(base_dir: str | Path, path_like: str | Path) -> str",Path | candidate.exists | expanduser | path.is_absolute | path.resolve | repo_candidate.exists | resolve | str | strip,,
mpc_solarcar/solar_profile.py,load_profile,68,74,"def load_profile(path_like: str | Path) -> tuple[Path, dict]",ValueError | _resolve_profile_path | isinstance | profile_path.open | yaml.safe_load,,
